hue\lightness,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,99
0,0,25.31,44.53,57.38,67.09,73.93,76.93,79.55,82.17,83.36,79.16,72.81,66.04,58.34,50.52,42.61,33.95,25.02,16.08,7.15,0
5,0,24.59,43.04,56.26,66.51,73.52,77.33,80.73,84.13,85.51,81.33,75.22,68.82,60.96,52.83,44.55,35.5,26.16,16.82,7.48,0
10,0,23.8,41.65,55.36,66.21,73.72,78.34,82.4,86.45,87.75,83.63,77.92,72,64.01,55.4,46.58,37.07,27.32,17.56,7.81,0
15,0,22.67,40.1,54.42,65.88,74.4,79.92,84.51,89.09,90.01,86.06,80.96,75.61,67.57,58.25,48.71,38.68,28.5,18.32,8.14,0
20,0,20.94,38.11,53.11,65.19,75.15,82.04,87.04,91.89,92.16,88.58,84.35,79.61,71.64,61.49,51.11,40.52,29.87,19.2,8.53,0
25,0,18.64,35.43,51.03,63.78,75.35,84.43,90.03,94.43,94.01,91.16,88.07,83.92,76.15,65.25,54.05,42.8,31.54,20.28,9.01,0
30,0,16.29,32.18,47.73,61.3,74.25,86,93.5,96.05,95.37,93.72,92.05,88.45,81.04,69.67,57.67,45.65,33.64,21.63,9.61,0
35,0,14.41,28.82,43.21,57.29,71.09,84.68,95.21,95.83,96.02,96.14,96.26,93.07,86.19,74.84,62.13,49.19,36.24,23.3,10.36,0
40,0,12.76,25.53,38.29,51.06,63.82,76.58,88.85,92.81,95.64,98.19,100.49,97.47,91.46,80.72,67.63,53.55,39.46,25.37,11.27,0
45,0,11.16,22.31,33.47,44.63,55.79,66.94,78.1,87.42,93.65,99.29,103.85,101.26,96.65,87.14,74.09,58.95,43.44,27.92,12.41,0
50,0,10.19,20.39,30.58,40.78,50.97,61.17,71.36,81.49,90.11,98.52,105.17,104.02,101.35,93.83,81.22,65.6,48.35,31.08,13.81,0
55,0,9.57,19.15,28.72,38.29,47.86,57.44,67.01,76.58,86.02,95.39,103.48,105.35,105.03,100.39,88.66,73.38,54.45,35,15.56,0
60,0,9.11,18.22,27.34,36.45,45.56,54.67,63.78,72.89,82.01,91.12,99.96,104.87,107.2,106.29,95.96,81.9,62.08,39.91,17.74,0
65,0,8.71,17.42,26.14,34.85,43.56,52.27,60.98,69.69,78.4,87.12,95.83,102.85,107.6,110.77,102.56,90.66,71.52,46.04,20.46,0
70,0,8.37,16.73,25.1,33.46,41.83,50.19,58.56,66.92,75.28,83.65,92.01,99.97,106.53,112.66,107.91,99.05,82.36,53.75,23.89,0
75,0,8.07,16.15,24.22,32.29,40.37,48.44,56.51,64.58,72.66,80.73,88.8,96.85,104.43,111.76,111.56,106.35,93.76,63.61,28.44,0
80,0,7.84,15.68,23.52,31.35,39.19,47.02,54.85,62.69,70.52,78.35,86.19,94.02,101.83,109.5,113.22,111.64,104.59,76.32,34.88,0
85,0,7.7,15.39,23.07,30.75,38.37,45.98,53.6,61.22,68.84,76.46,84.08,91.69,99.31,106.92,113.14,114.5,113.09,90.56,43.06,0
90,0,7.64,15.27,22.91,30.53,37.97,45.38,52.78,60.18,67.59,74.99,82.39,89.79,97.2,104.6,111.85,115.23,117.26,103.55,51.51,0
95,0,7.66,15.31,22.97,30.62,37.96,45.17,52.37,59.57,66.78,73.98,81.18,88.38,95.59,102.77,109.85,114.2,117.8,112.54,58.06,0
100,0,7.72,15.45,23.17,30.89,38.24,45.28,52.33,59.37,66.41,73.45,80.49,87.53,94.57,101.44,107.46,111.74,115.75,115.52,60.4,0
105,0,7.83,15.66,23.48,31.3,38.81,45.74,52.67,59.59,66.51,73.43,80.35,87.27,94.18,100.58,104.84,108.19,111.5,112.88,58.72,0
110,0,8.01,16.01,24.01,31.99,39.76,46.65,53.47,60.29,67.11,73.93,80.75,87.56,94.38,100.11,102.12,103.81,105.51,106.06,54.38,0
115,0,8.27,16.53,24.79,33.04,41.17,48.06,54.81,61.55,68.27,74.97,81.66,88.35,95.04,99.86,99.37,98.84,98.32,96.62,48.5,0
120,0,8.62,17.24,25.86,34.48,43.06,49.94,56.68,63.4,70.1,76.61,83.04,89.47,95.89,99.61,96.55,93.5,90.44,85.87,42,0
125,0,9.07,18.14,27.22,36.29,45.35,52.19,58.99,65.79,72.58,78.91,84.8,90.7,96.59,99.07,93.55,88.03,82.51,74.91,35.66,0
130,0,9.62,19.24,28.86,38.47,47.62,54.63,61.63,68.63,75.62,81.91,86.87,91.78,96.69,97.89,90.28,82.65,75.01,64.56,30,0
135,0,10.3,20.57,30.84,41.08,49.89,57.2,64.47,71.74,79.01,85.38,89.15,92.58,96.01,95.89,86.83,77.55,68.23,55.45,25.26,0
140,0,11.12,22.15,33.16,44.08,52.49,60,67.47,74.94,82.4,88.89,91.42,93.12,94.82,93.32,83.45,72.93,62.36,47.94,21.53,0
145,0,12.06,23.94,35.77,47.36,55.5,63.02,70.53,78.03,85.54,91.99,93.39,93.38,93.36,90.52,80.31,68.92,57.52,42.19,18.78,0
150,0,13.05,25.88,38.61,50.84,58.98,66.25,73.52,80.78,88.05,94.21,94.69,93.31,91.79,87.66,77.49,65.59,53.68,38.19,16.99,0
155,0,14.05,27.9,41.49,54.36,63.16,69.71,76.27,82.83,89.39,94.89,94.87,92.95,90.13,84.88,75.03,62.92,50.74,35.76,16.05,0
160,0,14.98,29.81,44.14,57.59,68.19,73.45,78.67,83.9,89.12,93.68,93.81,92.34,88.41,82.29,72.91,60.81,48.55,34.53,15.81,0
165,0,15.72,31.37,46.23,60.21,73.03,76.72,80.37,84.03,87.68,91.09,91.77,91.31,86.58,79.89,71.04,59.06,46.96,33.99,15.99,0
170,0,16.12,32.23,47.38,61.81,76.18,78.51,80.85,83.18,85.52,87.84,89.07,89.65,84.46,77.54,69.21,57.45,45.66,33.6,16.24,0
175,0,16.06,32.07,47.22,61.83,76.15,78,79.63,81.26,82.89,84.53,85.93,87.17,81.9,75.07,67.23,55.76,44.3,32.82,16.14,0
180,0,15.65,31.04,45.82,60.23,73.65,75.59,76.98,78.37,79.76,81.14,82.53,83.91,78.8,72.26,64.89,53.72,42.49,31.24,15.38,0
185,0,15.04,29.52,43.62,57.56,69.75,71.94,73.38,74.82,76.25,77.67,79.06,80.31,75.4,69.05,61.95,51.34,40.28,29.12,14.19,0
190,0,14.36,27.82,41.05,54.26,65.19,67.62,69.31,70.98,72.65,74.28,75.72,76.67,71.96,65.7,58.66,48.79,37.89,26.77,12.81,0
195,0,13.77,26.18,38.46,50.74,60.47,63.12,65.15,67.18,69.18,71.14,72.66,73.21,68.7,62.44,55.28,46.14,35.43,24.39,11.42,0
200,0,13.3,24.78,36.08,47.3,55.92,58.79,61.2,63.6,65.99,68.36,69.99,70.09,65.72,59.41,52.08,43.47,33.01,22.17,10.16,0
205,0,12.95,23.73,34.02,44.11,51.79,54.85,57.65,60.44,63.23,66.01,67.76,67.39,63.03,56.65,49.18,40.87,30.73,20.21,9.11,0
210,0,12.71,23.07,32.37,41.29,48.2,51.49,54.65,57.82,60.98,64.13,65.91,65.05,60.59,54.14,46.56,38.4,28.64,18.56,8.28,0
215,0,12.56,22.81,31.16,38.95,45.24,48.8,52.3,55.79,59.26,62.73,64.39,63.03,58.39,51.89,44.24,36.1,26.75,17.22,7.66,0
220,0,12.5,22.88,30.37,37.19,42.97,46.86,50.62,54.35,58.08,61.8,63.13,61.23,56.39,49.86,42.16,34.02,25.11,16.14,7.17,0
225,0,12.52,23.14,29.97,35.99,41.41,45.66,49.58,53.49,57.39,61.28,62.06,59.57,54.54,47.99,40.27,32.16,23.7,15.24,6.77,0
230,0,12.64,23.44,29.86,35.34,40.57,45.15,49.14,53.14,57.13,61.04,61.04,57.95,52.76,46.16,38.46,30.52,22.49,14.46,6.43,0
235,0,12.84,23.67,29.91,35.19,40.4,45.26,49.25,53.24,57.24,60.97,59.98,56.37,51.01,44.29,36.73,29.08,21.43,13.78,6.12,0
240,0,13.1,23.83,30.12,35.47,40.81,45.88,49.81,53.74,57.65,60.87,58.79,54.82,49.24,42.46,35.14,27.82,20.5,13.18,5.86,0
245,0,13.4,24,30.55,36.11,41.67,46.87,50.77,54.66,58.33,60.54,57.58,53.34,47.55,40.8,33.77,26.74,19.7,12.67,5.63,0
250,0,13.81,24.26,31.2,37.16,43.1,48.32,52.16,55.97,59.2,60.02,56.46,51.99,46.05,39.41,32.62,25.83,19.03,12.24,5.44,0
255,0,14.54,24.74,32.16,38.73,45.22,50.34,54.04,57.66,60.15,59.47,55.53,50.86,44.8,38.31,31.72,25.12,18.51,11.9,5.29,0
260,0,15.73,25.69,33.65,40.97,48.07,52.99,56.41,59.66,61.06,59.05,54.87,49.99,43.85,37.5,31.07,24.61,18.14,11.66,5.18,0
265,0,17.55,27.32,35.84,43.99,51.69,56.25,59.27,61.9,61.96,58.88,54.54,49.42,43.25,36.98,30.66,24.3,17.93,11.53,5.13,0
270,0,20.12,29.86,38.93,47.86,56.07,60.09,62.57,64.31,62.98,59.08,54.56,49.18,42.98,36.74,30.48,24.19,17.86,11.52,5.13,0
275,0,23.53,33.43,43.06,52.67,61.16,64.46,66.27,66.85,64.19,59.67,54.88,49.28,43.03,36.77,30.51,24.23,17.94,11.62,5.2,0
280,0,27.87,38.12,48.3,58.46,66.85,69.23,70.25,69.52,65.65,60.62,55.47,49.64,43.34,37.04,30.74,24.43,18.13,11.81,5.31,0
285,0,33.27,44.01,54.75,65.24,73,74.3,74.39,72.29,67.39,61.93,56.31,50.2,43.84,37.48,31.12,24.76,18.4,12.04,5.42,0
290,0,39.72,51.11,62.48,72.95,79.34,79.53,78.54,75.12,69.42,63.52,57.41,51.03,44.56,38.1,31.63,25.16,18.69,12.22,5.51,0
295,0,47.07,59.42,71.38,81.45,85.56,84.68,82.54,77.95,71.65,65.29,58.76,52.15,45.52,38.89,32.25,25.62,18.98,12.34,5.54,0
