hue\lightness,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,99
0,0.00 ,18.64 ,33.43 ,44.06 ,54.60 ,64.81 ,71.33 ,75.35 ,79.17 ,81.67 ,80.22 ,73.81 ,66.75 ,59.21 ,50.56 ,41.85 ,33.13 ,24.42 ,15.70 ,6.98 ,0.00 
5,0.00 ,17.96 ,32.62 ,43.55 ,54.22 ,64.32 ,71.96 ,76.40 ,80.27 ,82.82 ,81.64 ,75.00 ,67.99 ,60.50 ,51.76 ,42.84 ,33.92 ,24.99 ,16.07 ,7.14 ,0.00 
10,0.00 ,17.36 ,31.93 ,43.31 ,54.29 ,64.50 ,73.24 ,78.10 ,81.71 ,84.28 ,83.37 ,76.58 ,69.61 ,61.98 ,53.10 ,43.95 ,34.80 ,25.64 ,16.48 ,7.33 ,0.00 
15,0.00 ,16.70 ,31.13 ,43.06 ,54.48 ,65.04 ,74.83 ,80.08 ,83.40 ,86.11 ,85.38 ,78.72 ,71.84 ,63.72 ,54.58 ,45.17 ,35.76 ,26.35 ,16.94 ,7.53 ,0.00 
20,0.00 ,15.85 ,30.10 ,42.57 ,54.48 ,65.57 ,76.36 ,81.87 ,85.14 ,88.17 ,87.63 ,81.48 ,74.71 ,65.81 ,56.25 ,46.56 ,36.86 ,27.16 ,17.46 ,7.76 ,0.00 
25,0.00 ,14.79 ,28.71 ,41.66 ,53.97 ,65.68 ,77.30 ,83.01 ,86.67 ,90.25 ,90.02 ,84.83 ,78.16 ,68.38 ,58.36 ,48.30 ,38.24 ,28.18 ,18.11 ,8.05 ,0.00 
30,0.00 ,13.68 ,27.03 ,40.13 ,52.68 ,64.88 ,77.04 ,83.07 ,87.61 ,92.14 ,92.47 ,88.49 ,82.11 ,71.59 ,61.07 ,50.54 ,40.01 ,29.48 ,18.95 ,8.42 ,0.00 
35,0.00 ,12.69 ,25.31 ,37.94 ,50.39 ,62.73 ,74.89 ,81.58 ,87.54 ,93.50 ,94.67 ,92.04 ,86.41 ,75.66 ,64.53 ,53.41 ,42.28 ,31.15 ,20.03 ,8.90 ,0.00 
40,0.00 ,11.79 ,23.59 ,35.38 ,47.17 ,58.96 ,70.64 ,78.35 ,85.93 ,93.51 ,95.78 ,94.98 ,90.64 ,80.83 ,68.96 ,57.07 ,45.18 ,33.29 ,21.40 ,9.51 ,0.00 
